week,state,value
2021-06-19,Oregon,0.7142857142857143
2021-06-19,Pennsylvania,0.6076923076923076
2021-06-19,Puerto Rico,No Data
2021-06-19,Rhode Island,No Data
2021-06-19,South Carolina,0.42592592592592593
2021-06-19,South Dakota,No Data
2021-06-19,Tennessee,0.6056338028169014
2021-06-19,Texas,0.5573770491803278
2021-06-19,Utah,0.4117647058823529
2021-06-19,Vermont,0.0
2021-06-19,Virginia,0.39080459770114945
2021-06-19,Washington,0.5384615384615384
2021-06-19,West Virginia,0.9444444444444444
2021-06-19,Wisconsin,0.2033898305084746
2021-06-19,Wyoming,No Data
2021-06-26,Alabama,0.7058823529411765
2021-06-26,Alaska,No Data
2021-06-26,Arizona,0.6216216216216216
2021-06-26,Arkansas,1.096774193548387
2021-06-26,California,0.22564102564102564
2021-06-26,Colorado,0.7288135593220338
2021-06-26,Connecticut,No Data
2021-06-26,Delaware,No Data
2021-06-26,Maryland,0.36764705882352944
2021-06-26,Florida,0.7123893805309734
2021-06-26,Georgia,0.36363636363636365
2021-06-26,Hawaii,No Data
2021-06-26,Idaho,0.7
2021-06-26,Illinois,0.496
2021-06-26,Indiana,0.6521739130434783
2021-06-26,Iowa,0.3125
2021-06-26,Kansas,0.3793103448275862
2021-06-26,Kentucky,0.7333333333333333
2021-06-26,Louisiana,0.782608695652174
2021-06-26,Maine,No Data
2021-06-26,Massachusetts,No Data
2021-06-26,Michigan,0.54
2021-06-26,Minnesota,0.3508771929824561
2021-06-26,Mississippi,0.6551724137931034
2021-06-26,Missouri,1.4193548387096775
2021-06-26,Montana,No Data
2021-06-26,Nebraska,No Data
2021-06-26,Nevada,0.96875
2021-06-26,New Hampshire,No Data
2021-06-26,New Jersey,0.26881720430107525
2021-06-26,New Mexico,0.8095238095238095
2021-06-26,New York,0.3979591836734694
2021-06-26,North Carolina,0.5833333333333334
2021-06-26,North Dakota,No Data
2021-06-26,Ohio,0.4830508474576271
2021-06-26,Oklahoma,0.7073170731707317
2021-06-26,Oregon,0.42857142857142855
2021-06-26,Pennsylvania,0.4230769230769231
2021-06-26,Puerto Rico,No Data
2021-06-26,Rhode Island,No Data
2021-06-26,South Carolina,0.3148148148148148
2021-06-26,South Dakota,No Data
2021-06-26,Tennessee,0.5070422535211268
2021-06-26,Texas,0.5442622950819672
2021-06-26,Utah,0.7058823529411765
2021-06-26,Vermont,0.0
2021-06-26,Virginia,0.42528735632183906
2021-06-26,Washington,0.6025641025641025
2021-06-26,West Virginia,No Data
2021-06-26,Wisconsin,No Data
2021-06-26,Wyoming,No Data
2021-07-03,Alabama,0.43137254901960786
2021-07-03,Alaska,No Data
2021-07-03,Arizona,0.5540540540540541
2021-07-03,Arkansas,1.4193548387096775
2021-07-03,California,0.2512820512820513
2021-07-03,Colorado,0.7457627118644068
2021-07-03,Connecticut,No Data
2021-07-03,Delaware,No Data
2021-07-03,Maryland,0.22058823529411764
2021-07-03,Florida,0.827433628318584
2021-07-03,Georgia,0.37272727272727274
2021-07-03,Hawaii,No Data
2021-07-03,Idaho,No Data
2021-07-03,Illinois,0.36
2021-07-03,Indiana,0.463768115942029
2021-07-03,Iowa,No Data
2021-07-03,Kansas,0.8275862068965517
2021-07-03,Kentucky,0.6888888888888889
2021-07-03,Louisiana,0.5434782608695652
2021-07-03,Maine,No Data
2021-07-03,Massachusetts,0.22857142857142856
2021-07-03,Michigan,0.33
2021-07-03,Minnesota,0.21052631578947367
2021-07-03,Mississippi,0.6206896551724138
2021-07-03,Missouri,1.3709677419354838
2021-07-03,Montana,1.0
2021-07-03,Nebraska,No Data
2021-07-03,Nevada,1.1875
2021-07-03,New Hampshire,No Data
2021-07-03,New Jersey,0.3763440860215054
2021-07-03,New Mexico,0.6666666666666666
2021-07-03,New York,0.2755102040816326
2021-07-03,North Carolina,0.3888888888888889
2021-07-03,North Dakota,No Data
2021-07-03,Ohio,0.3728813559322034
2021-07-03,Oklahoma,0.6341463414634146
2021-07-03,Oregon,0.4523809523809524
2021-07-03,Pennsylvania,0.2923076923076923
2021-07-03,Puerto Rico,No Data
2021-07-03,Rhode Island,No Data
2021-07-03,South Carolina,0.37037037037037035
2021-07-03,South Dakota,No Data
2021-07-03,Tennessee,0.43661971830985913
2021-07-03,Texas,0.6098360655737705
2021-07-03,Utah,0.47058823529411764
2021-07-03,Vermont,No Data
2021-07-03,Virginia,0.28735632183908044
2021-07-03,Washington,0.6025641025641025
2021-07-03,West Virginia,0.5555555555555556
2021-07-03,Wisconsin,0.3220338983050847
2021-07-03,Wyoming,No Data
2021-07-10,Alabama,0.7254901960784313
2021-07-10,Alaska,No Data
2021-07-10,Arizona,0.5540540540540541
2021-07-10,Arkansas,1.967741935483871
2021-07-10,California,0.31794871794871793
2021-07-10,Colorado,0.9322033898305084
2021-07-10,Connecticut,No Data
2021-07-10,Delaware,No Data
2021-07-10,Maryland,No Data
2021-07-10,Florida,0.9867256637168141
2021-07-10,Georgia,0.35454545454545455
2021-07-10,Hawaii,No Data
2021-07-10,Idaho,No Data
2021-07-10,Illinois,0.36
2021-07-10,Indiana,0.5507246376811594
2021-07-10,Iowa,0.375
2021-07-10,Kansas,0.7931034482758621
2021-07-10,Kentucky,0.6888888888888889
2021-07-10,Louisiana,0.5434782608695652
2021-07-10,Maine,No Data
2021-07-10,Massachusetts,No Data
2021-07-10,Michigan,0.29
2021-07-10,Minnesota,0.24561403508771928
2021-07-10,Mississippi,0.7586206896551724
2021-07-10,Missouri,1.7096774193548387
2021-07-10,Montana,0.9090909090909091
2021-07-10,Nebraska,No Data
2021-07-10,Nevada,1.5625
2021-07-10,New Hampshire,No Data
2021-07-10,New Jersey,0.2903225806451613
2021-07-10,New Mexico,0.5238095238095238
2021-07-10,New York,0.2142857142857143
2021-07-10,North Carolina,0.37962962962962965
2021-07-10,North Dakota,No Data
2021-07-10,Ohio,0.3474576271186441
2021-07-10,Oklahoma,0.8048780487804879
2021-07-10,Oregon,0.42857142857142855
2021-07-10,Pennsylvania,0.3076923076923077
2021-07-10,Puerto Rico,No Data
2021-07-10,Rhode Island,No Data
2021-07-10,South Carolina,0.4444444444444444
2021-07-10,South Dakota,0.0
2021-07-10,Tennessee,0.49295774647887325
2021-07-10,Texas,0.5770491803278689
2021-07-10,Utah,0.7352941176470589
2021-07-10,Vermont,No Data
2021-07-10,Virginia,0.25287356321839083
2021-07-10,Washington,0.46153846153846156
2021-07-10,West Virginia,0.6111111111111112
2021-07-10,Wisconsin,0.2542372881355932
2021-07-10,Wyoming,No Data
2021-07-17,Alabama,0.8431372549019608
2021-07-17,Alaska,0.0
2021-07-17,Arizona,0.7567567567567568
2021-07-17,Arkansas,2.4516129032258065
2021-07-17,California,0.38461538461538464
2021-07-17,Colorado,0.6440677966101694
2021-07-17,Connecticut,No Data
2021-07-17,Delaware,No Data
2021-07-17,Maryland,0.25
2021-07-17,Florida,1.345132743362832
2021-07-17,Georgia,0.4636363636363636
2021-07-17,Hawaii,No Data
2021-07-17,Idaho,0.5
2021-07-17,Illinois,0.344
2021-07-17,Indiana,0.463768115942029
2021-07-17,Iowa,0.46875
2021-07-17,Kansas,0.5862068965517241
2021-07-17,Kentucky,0.7777777777777778
2021-07-17,Louisiana,1.2391304347826086
2021-07-17,Maine,No Data
2021-07-17,Massachusetts,0.18571428571428572
2021-07-17,Michigan,0.19
